"caseId","url","runnerId","status","phase","durationMs","title","hasImage","hasFavicon","error"
"github","https://github.com/OP-Engineering/link-preview-js","intent-only","partial","normalize","0","Direct-github","False","True",
"github","https://github.com/OP-Engineering/link-preview-js","current-style-baseline","ok","parse","889","GitHub - OP-Engineering/link-preview-js: ⛓ Extract web links information: title, description, images, videos, etc. [via OpenGraph], runs on mobiles and node.","True","True",
"github","https://github.com/OP-Engineering/link-preview-js","link-preview-js","ok","parse","100","GitHub - OP-Engineering/link-preview-js: ⛓ Extract web links information: title, description, images, videos, etc. [via OpenGraph], runs on mobiles and node.","True","True",
"github","https://github.com/OP-Engineering/link-preview-js","openlink","ok","parse","50","GitHub - OP-Engineering/link-preview-js: ⛓ Extract web links information: title, description, images, videos, etc. [via OpenGraph], runs on mobiles and node.","True","True",
"youtube","https://www.youtube.com/watch?v=dQw4w9WgXcQ","intent-only","partial","normalize","0","Direct-youtube","False","True",
"youtube","https://www.youtube.com/watch?v=dQw4w9WgXcQ","current-style-baseline","ok","parse","168","Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster)","True","True",
"youtube","https://www.youtube.com/watch?v=dQw4w9WgXcQ","link-preview-js","ok","parse","1037","Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster)","True","True",
"youtube","https://www.youtube.com/watch?v=dQw4w9WgXcQ","openlink","ok","parse","879","Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster)","True","True",
"x","https://x.com/github/status/1722329003819974954","intent-only","partial","normalize","0","Direct-x","False","True",
"x","https://x.com/github/status/1722329003819974954","current-style-baseline","partial","parse","4399","x.com","False","True",
"x","https://x.com/github/status/1722329003819974954","link-preview-js","partial","parse","2086","","True","True",
"x","https://x.com/github/status/1722329003819974954","openlink","partial","parse","1281","","False","True",
"instagram","https://www.instagram.com/","intent-only","partial","normalize","0","Direct-instagram","False","True",
"instagram","https://www.instagram.com/","current-style-baseline","partial","parse","369","Instagram","False","True",
"instagram","https://www.instagram.com/","link-preview-js","ok","parse","347","Instagram","True","True",
"instagram","https://www.instagram.com/","openlink","partial","parse","308","Instagram","False","True",
"amazon","https://www.amazon.co.jp/","intent-only","partial","normalize","0","Direct-amazon","False","True",
"amazon","https://www.amazon.co.jp/","current-style-baseline","partial","parse","141","Amazon","False","True",
"amazon","https://www.amazon.co.jp/","link-preview-js","partial","parse","94","","False","True",
"amazon","https://www.amazon.co.jp/","openlink","partial","parse","38","","False","True",
"zenn","https://zenn.dev/","intent-only","partial","normalize","0","Direct-zenn","False","True",
"zenn","https://zenn.dev/","current-style-baseline","ok","parse","138","Zenn｜エンジニアのための情報共有コミュニティ","True","True",
"zenn","https://zenn.dev/","link-preview-js","ok","parse","46","Zenn｜エンジニアのための情報共有コミュニティ","True","True",
"zenn","https://zenn.dev/","openlink","ok","parse","42","Zenn｜エンジニアのための情報共有コミュニティ","True","True",
"npm","https://www.npmjs.com/package/link-preview-js","intent-only","partial","normalize","0","Direct-npm","False","True",
"npm","https://www.npmjs.com/package/link-preview-js","current-style-baseline","failed","fetch","129",,"False","False","HTTP 403"
"npm","https://www.npmjs.com/package/link-preview-js","link-preview-js","partial","parse","107","Just a moment...","False","True",
"npm","https://www.npmjs.com/package/link-preview-js","openlink","failed","unknown","101",,"False","False","Forbidden (403)"
"direct-image","https://github.githubassets.com/images/modules/logos_page/GitHub-Mark.png","intent-only","partial","normalize","0","Direct-direct-image","False","True",
"direct-image","https://github.githubassets.com/images/modules/logos_page/GitHub-Mark.png","current-style-baseline","ok","parse","249","GitHub-Mark.png","True","True",
"direct-image","https://github.githubassets.com/images/modules/logos_page/GitHub-Mark.png","link-preview-js","partial","parse","114","","False","True",
"direct-image","https://github.githubassets.com/images/modules/logos_page/GitHub-Mark.png","openlink","partial","parse","31","","False","True",
