"corpusId","label","category","url","runnerId","status","phase","durationMs","title","hasImage","hasFavicon","siteName","error"
"github","GitHub repository","developer","https://github.com/OP-Engineering/link-preview-js","intent-only","fallback","normalize","0","github.com","False","True","github.com",
"github","GitHub repository","developer","https://github.com/OP-Engineering/link-preview-js","current-style-baseline","ok","parse","994","GitHub - OP-Engineering/link-preview-js: ⛓ Extract web links information: title, description, images, videos, etc. [via OpenGraph], runs on mobiles and node.","True","True","GitHub",
"github","GitHub repository","developer","https://github.com/OP-Engineering/link-preview-js","link-preview-js","ok","parse","89","GitHub - OP-Engineering/link-preview-js: ⛓ Extract web links information: title, description, images, videos, etc. [via OpenGraph], runs on mobiles and node.","True","True","GitHub",
"github","GitHub repository","developer","https://github.com/OP-Engineering/link-preview-js","openlink","ok","parse","39","GitHub - OP-Engineering/link-preview-js: ⛓ Extract web links information: title, description, images, videos, etc. [via OpenGraph], runs on mobiles and node.","True","True","GitHub",
"youtube","YouTube video","video","https://www.youtube.com/watch?v=dQw4w9WgXcQ","intent-only","fallback","normalize","0","youtube.com","False","True","youtube.com",
"youtube","YouTube video","video","https://www.youtube.com/watch?v=dQw4w9WgXcQ","current-style-baseline","ok","parse","187","Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster)","True","True","YouTube",
"youtube","YouTube video","video","https://www.youtube.com/watch?v=dQw4w9WgXcQ","link-preview-js","ok","parse","992","Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster)","True","True","YouTube",
"youtube","YouTube video","video","https://www.youtube.com/watch?v=dQw4w9WgXcQ","openlink","ok","parse","1173","Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster)","True","True","YouTube",
"x-post","X/Twitter post","social","https://x.com/github/status/1722329003819974954","intent-only","fallback","normalize","0","x.com","False","True","x.com",
"x-post","X/Twitter post","social","https://x.com/github/status/1722329003819974954","current-style-baseline","partial","parse","3668","x.com","False","True","X (formerly Twitter)",
"x-post","X/Twitter post","social","https://x.com/github/status/1722329003819974954","link-preview-js","partial","parse","2406","","True","True","X (formerly Twitter)",
"x-post","X/Twitter post","social","https://x.com/github/status/1722329003819974954","openlink","partial","parse","1597","","False","True","X (formerly Twitter)",
"instagram","Instagram root fallback","social","https://www.instagram.com/","intent-only","fallback","normalize","0","instagram.com","False","True","instagram.com",
"instagram","Instagram root fallback","social","https://www.instagram.com/","current-style-baseline","partial","parse","441","Instagram","False","True","instagram.com",
"instagram","Instagram root fallback","social","https://www.instagram.com/","link-preview-js","ok","parse","365","Instagram","True","True","instagram.com",
"instagram","Instagram root fallback","social","https://www.instagram.com/","openlink","partial","parse","458","Instagram","False","True","www.instagram.com",
"amazon-jp","Amazon JP","commerce","https://www.amazon.co.jp/","intent-only","fallback","normalize","0","amazon.co.jp","False","True","amazon.co.jp",
"amazon-jp","Amazon JP","commerce","https://www.amazon.co.jp/","current-style-baseline","partial","parse","125","Amazon","False","True","amazon.co.jp",
"amazon-jp","Amazon JP","commerce","https://www.amazon.co.jp/","link-preview-js","partial","parse","95","","False","True","amazon.co.jp",
"amazon-jp","Amazon JP","commerce","https://www.amazon.co.jp/","openlink","partial","parse","33","","False","True","www.amazon.co.jp",
"zenn","Zenn","article","https://zenn.dev/","intent-only","fallback","normalize","0","zenn.dev","False","True","zenn.dev",
"zenn","Zenn","article","https://zenn.dev/","current-style-baseline","ok","parse","151","Zenn｜エンジニアのための情報共有コミュニティ","True","True","Zenn",
"zenn","Zenn","article","https://zenn.dev/","link-preview-js","ok","parse","56","Zenn｜エンジニアのための情報共有コミュニティ","True","True","Zenn",
"zenn","Zenn","article","https://zenn.dev/","openlink","ok","parse","49","Zenn｜エンジニアのための情報共有コミュニティ","True","True","Zenn",
"qiita","Qiita","article","https://qiita.com/","intent-only","fallback","normalize","0","qiita.com","False","True","qiita.com",
